Timestamp,Organization Name,Primary contact email,In which Orange County cities does your organization conduct community outreach? Check all that apply.,Which of the following race/ethnic group(s) describes the communities that your organization reaches? Check all that apply.,In which language(s) does your organization conduct outreach? Check all that apply.,Which of the following demographic characteristic(s) describe the communities that your organization reaches? Check all that apply.,Which of the following outreach activities does your organization conduct to reach communities? Check all that apply.,"If your organization is listed on OC Nonprofit Central, please post the direct link to the profile page here.",Email Address
9/7/22 12:25,"Abrazar, Inc.",m.ortega@abrazarinc.com,"Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Los Alamitos, Newport Beach, Orange, Placentia, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Food / kit distribution, Phone banking, Tabling / flier distribution, Virtual events / gatherings",,
1/24/23 10:05,"Age Well Senior Services, Inc.",jhamaker@myagewell.org,"Aliso Viejo, Irvine, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Mission Viejo, Newport Beach, Rancho Santa Margarita, San Clemente, San Juan Capistrano","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Tagalog","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/age-well-senior-services-inc,
1/23/23 14:08,Anaheim Family YMCA,djauch@anaheimymca.org,"Anaheim, Buena Park, Cypress, La Palma, Stanton","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/ymca-of-anaheim,
10/5/22 16:28,Arab American Civic Council,rashad@aaciviccouncil.org,"Anaheim, Fullerton, Garden Grove, Irvine, Mission Viejo",Middle Eastern & North African,"English, Arabic",Immigrants / Refugees,"Door-to-door canvassing, In-person events / gatherings, Mailings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/arab-american-civic-council,
1/25/23 10:01,Asociacion de Emprendedor@s,monicarobles@asociaciondeemprendedores.org,"Anaheim, Brea, Buena Park, Mission Viejo, Orange, Santa Ana, Tustin",Latino / Latinx,Spanish,"Immigrants / Refugees, Limited English speaking ability, Older adults / seniors","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Virtual events / gatherings",,
1/25/23 9:13,Boys & Girls Club of Laguna Beach,pame@bgclaguna.org,"Aliso Viejo, Laguna Beach, Lake Forest, Mission Viejo","Asian American, Black & African American, Latino / Latinx, Non-Hispanic White",English,"Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Low broadband subscription rate, People with disabilities","In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/boys-and-girls-club-of-laguna-beach,
10/13/22 12:32,Boys & Girls Clubs of Garden Grove,csepulveda@bgcgg.org,"Anaheim, Buena Park, Cypress, Fountain Valley, Garden Grove, Orange, Santa Ana, Stanton, Westminster","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, People with disabilities","In-person events / gatherings, Food / kit distribution, Tabling / flier distribution",https://www.ocnonprofitcentral.org/organizations/boys-girls-clubs-of-garden-grove-inc,
9/23/22 17:27,Building Skills Partnership,info@buildingskills.org,"Anaheim, Costa Mesa, Garden Grove, Huntington Beach, Irvine, La Habra, Newport Beach, Orange, Santa Ana","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African","English, Spanish","Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors","In-person events / gatherings, Food / kit distribution, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/building-skills-partnership,
10/7/22 9:31,Charitable Ventures,Anne.olin@charitableventuresoc.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish, Vietnamese","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Food / kit distribution, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/charitable-ventures-of-orange-county-inc,
1/26/23 11:45,CIELO,christine@cielocommunity.org,"Anaheim, Buena Park, Costa Mesa, Fullerton, Garden Grove, Huntington Beach, Irvine, Mission Viejo, Newport Beach, Orange, Placentia, San Clemente, San Juan Capistrano, Santa Ana, Stanton, Tustin, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Older adults / seniors, Veterans","In-person events / gatherings, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/cielo,
1/10/23 13:55,Community Action Partnership of Orange County (CAP OC),yhernandez@capoc.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Farsi, Spanish, Vietnamese","Children under 5, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","Door-to-door canvassing, In-person events / gatherings, Mailings, Media (TV, radio, newspapers), Peer-to-peer / mass texting, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/capoc,
10/13/22 8:44,Community Health Initiative of Orange County,help@chioc.org,"Aliso Viejo, Anaheim, Brea, Buena Park, Costa Mesa, Cypress, Dana Point, Fountain Valley, Fullerton, Garden Grove, Huntington Beach, Irvine, La Habra, La Palma, Laguna Beach, Laguna Hills, Laguna Niguel, Laguna Woods, Lake Forest, Los Alamitos, Mission Viejo, Newport Beach, Orange, Placentia, Rancho Santa Margarita, San Clemente, San Juan Capistrano, Santa Ana, Seal Beach, Stanton, Tustin, Villa Park, Westminster, Yorba Linda","Asian American, Black & African American, Latino / Latinx, Middle Eastern & North African, Native American & Tribal Communities, Native Hawaiian & Pacific Islander, Non-Hispanic White","English, Spanish","Children under 5, Farmworkers, Houseless individuals & families, LGBTQ+, Immigrants / Refugees, Limited English speaking ability, Low broadband subscription rate, Older adults / seniors, People with disabilities, Veterans","In-person events / gatherings, Peer-to-peer / mass texting, Phone banking, Tabling / flier distribution, Virtual events / gatherings",https://www.ocnonprofitcentral.org/organizations/community-health-initiative-of-orange-county-chioc,
